id,bounding_box
person:0.9880,[470 127  35  86]
person:0.9878,[751 559  50 133]
person:0.9877,[451 370  49 113]
person:0.9872,[992 351  54 104]
person:0.9814,[1214  415   61  122]
person:0.9787,[614 135  40  85]
person:0.9778,[1200  112   38   93]
person:0.9722,[726  43  32  70]
person:0.9721,[159 329  51 107]
person:0.9681,[901 474  61 109]
person:0.9563,[780  81  32  75]
person:0.9491,[57 79 37 85]
person:0.9451,[530  39  29  81]
person:0.9412,[382 201  36  88]
person:0.9408,[562  39  36  81]
person:0.9382,[660  78  34 102]
person:0.9050,[607  50  27  73]
person:0.8950,[479   0  36  47]
person:0.8945,[1079   11   31   72]
person:0.8862,[801  58  34  93]
person:0.8843,[168  10  34  71]
person:0.8594,[259  -2  26  72]
person:0.8593,[279 327  59  96]
person:0.8557,[1118   11   36   91]
person:0.8465,[1061   13   23   71]
person:0.8256,[241 326  58 109]
person:0.7685,[1135   82   55  133]
person:0.7512,[381 149  34  69]
person:0.7439,[868   0  26  63]
person:0.6845,[1259   64   21   79]
person:0.6677,[605  -2  28  55]
person:0.6669,[1209   -1   24   27]
person:0.5625,[531  -3  53  37]
person:0.5244,[119   1  17  12]
dog:0.5137,[ 28 549  91 108]
person:0.9936,[990 352  59 106]
person:0.9933,[762 293  41  90]
person:0.9930,[982 246  53 110]
person:0.9897,[751 557  50 128]
person:0.9891,[504 256  38 100]
person:0.9859,[470 126  34  85]
person:0.9839,[451 367  48 115]
person:0.9800,[1212  406   60  121]
person:0.9754,[896 473  63 111]
person:0.9737,[1201  114   38   91]
person:0.9725,[780  79  31  77]
person:0.9710,[614 134  41  86]
person:0.9710,[727  43  30  70]
person:0.9677,[158 328  52 113]
person:0.9595,[529  39  29  81]
person:0.9583,[562  39  36  81]
person:0.9513,[57 79 37 85]
person:0.9501,[382 202  37  87]
person:0.9297,[660  82  34  97]
person:0.9055,[1080   11   31   73]
person:0.8988,[480  -1  35  48]
person:0.8900,[607  51  26  71]
person:0.8877,[258  -2  28  73]
person:0.8874,[241 325  60 109]
person:0.8671,[1118   11   35   92]
person:0.8546,[170  10  36  70]
person:0.8527,[1061   13   23   72]
person:0.8441,[802  58  33  95]
person:0.8403,[293 329  41  96]
person:0.8186,[1135   82   58  133]
person:0.7385,[868   0  25  64]
person:0.6893,[381 149  34  69]
person:0.6662,[1209   -1   24   27]
person:0.6300,[1259   63   21   79]
person:0.6065,[842  27  24  49]
person:0.5909,[605  -2  28  55]
person:0.9943,[993 353  56 110]
person:0.9920,[750 555  51 124]
person:0.9912,[502 247  40 112]
person:0.9898,[763 291  40  89]
person:0.9898,[981 248  53 107]
person:0.9846,[449 366  51 116]
person:0.9843,[471 127  33  83]
person:0.9794,[1212  407   57  112]
person:0.9766,[887 474  69 110]
person:0.9757,[1200  119   40   84]
person:0.9755,[780  78  30  77]
person:0.9752,[614 134  42  86]
person:0.9705,[728  43  28  70]
person:0.9677,[529  39  29  81]
person:0.9659,[381 202  38  86]
person:0.9644,[562  39  37  80]
person:0.9598,[154 333  55 114]
person:0.9469,[660  80  33 100]
person:0.9226,[57 79 36 84]
person:0.9119,[1081   11   30   74]
person:0.9099,[258  -2  29  72]
person:0.9070,[480  -1  33  47]
person:0.8716,[240 326  60 107]
person:0.8683,[293 329  42  97]
person:0.8644,[607  55  24  65]
person:0.8591,[802  58  32  95]
person:0.8557,[1118   11   35   91]
person:0.8513,[1060   13   24   71]
